iteration	1	Offline-First Core	1.0
iteration	2	Financial Operations	2.0
iteration	3	Integrations	3.0
iteration	4	Group Collaboration & Governance	4.0
iteration	5	Advanced Platform	5.0
sprint	1	1	Identity & Local Queue
sprint	2	1	Circle & Round
sprint	3	1	Members, Share, Contribution, Balance
sprint	4	1	Dashboard & Sync
sprint	5	2	Payout Draw & Bidding
sprint	6	2	Rotation, Interest, Reconciliation
sprint	7	2	Debt, Ledger, P&L, Audit, Reports, Export
sprint	8	2	Offline-Aware Financial Handling
sprint	9	3	Notification & File Storage
sprint	10	3	External Auth & AI Entry
sprint	11	3	Analytics, Backup, Subscription
sprint	12	4	Group, Invitation, Roles
sprint	13	4	Announcements, Voting, Rules, Fines
sprint	14	4	Communication, Meetings, Tasks
sprint	15	5	Accounts, Transfers, Budget, Invoice
sprint	16	5	Documents, Calendar, Import, Export
sprint	17	5	Sharing, Community
epic	1	1	I1-E01	Identity & Account
epic	1	1	I1-E02	Local Storage & Operation Queue
epic	1	2	I1-E03	Savings Circle
epic	1	2	I1-E04	Round
epic	1	3	I1-E05	Members & Share
epic	1	3	I1-E06	Contribution
epic	1	3	I1-E07	Balance
epic	1	4	I1-E08	Dashboard
epic	1	4	I1-E09	Synchronization & Conflict Detection
epic	2	5	I2-E01	Payout Draw
epic	2	5	I2-E02	Bidding
epic	2	6	I2-E03	Rotation / No-Interest Rotation
epic	2	6	I2-E04	Fixed Interest
epic	2	6	I2-E05	Balance Reconciliation
epic	2	7	I2-E06	Debt
epic	2	7	I2-E07	Ledger
epic	2	7	I2-E08	P&L
epic	2	7	I2-E09	Audit
epic	2	7	I2-E10	Reports
epic	2	7	I2-E11	Export
epic	2	8	I2-E12	Offline-Aware Financial Handling
epic	3	9	I3-E01	Notification
epic	3	9	I3-E02	File Storage
epic	3	10	I3-E03	External Auth
epic	3	10	I3-E04	AI / Natural-Language
epic	3	11	I3-E05	Analytics
epic	3	11	I3-E06	Backup
epic	3	11	I3-E07	Subscription / Billing
epic	4	12	I4-E01	Group
epic	4	12	I4-E02	Invitation
epic	4	12	I4-E03	Roles & Permissions
epic	4	13	I4-E04	Announcements
epic	4	13	I4-E05	Voting
epic	4	13	I4-E06	Rules
epic	4	13	I4-E07	Fines & Appeals
epic	4	14	I4-E08	Communication
epic	4	14	I4-E09	Meetings
epic	4	14	I4-E10	Tasks
epic	5	15	I5-E01	Accounts
epic	5	15	I5-E02	Transfers
epic	5	15	I5-E03	Budget
epic	5	15	I5-E04	Invoice
epic	5	16	I5-E05	Documents
epic	5	16	I5-E06	Calendar
epic	5	16	I5-E07	Import
epic	5	16	I5-E08	Export
epic	5	17	I5-E09	Sharing
epic	5	17	I5-E10	Community
epic	0	0	X-E01	Validation
epic	0	0	X-E02	Authorization
epic	0	0	X-E03	Observability
epic	0	0	X-E04	Reliability
epic	0	0	X-E05	Testing
label	type	feature	#1D76DB	New feature
label	type	story	#0E8A16	User story
label	type	task	#5319E7	Engineering task
label	type	bug	#D73A4A	Something is broken
label	type	spike	#FBCA04	Time-boxed investigation
label	type	docs	#0075CA	Documentation
label	type	chore	#C5DEF5	Maintenance
label	priority	P0	#B60205	Critical
label	priority	P1	#D93F0B	High
label	priority	P2	#FBCA04	Medium
label	priority	P3	#0E8A16	Low
label	area	backend	#1D76DB	Backend / API
label	area	frontend	#5319E7	Frontend / PWA
label	area	infra	#0052CC	Infrastructure
label	area	ci	#006B75	CI / build
label	area	tests	#0E8A16	Test code
label	area	docs	#0075CA	Documentation area
label	cross-cutting	validation	#BFD4F2	Cross-cutting: validation
label	cross-cutting	authorization	#D4C5F9	Cross-cutting: authorization
label	cross-cutting	observability	#C2E0C6	Cross-cutting: observability
label	cross-cutting	reliability	#F9D0C4	Cross-cutting: reliability
label	cross-cutting	testing	#FEF2C0	Cross-cutting: testing
label	special	financial-integrity	#B60205	Financial correctness / ledger
label	special	offline-sync	#FBCA04	Offline queue / synchronization
label	special	security	#D93F0B	Security-sensitive
